rent,m2,location
2800元/月,31㎡,徐汇-漕河泾-诚达创意园商住楼
7200元/月,58㎡,徐汇-斜土路-中山新村
18500元/月,170㎡,徐汇-徐家汇-兆丰帝景苑
29000元/月,135㎡,徐汇-衡山路-鸿艺豪苑
19000元/月,152㎡,徐汇-徐家汇-虹桥乐庭
3500元/月,33㎡,徐汇-田林-田林路89弄
11500元/月,60㎡,徐汇-建国西路-巴黎时韵商住楼
21800元/月,156㎡,徐汇-建国西路-嘉善公寓
14800元/月,86㎡,徐汇-徐家汇-汇宁花园
9000元/月,96㎡,徐汇-斜土路-环龙新苑
19800元/月,140㎡,徐汇-斜土路-汇峰鼎园
19800元/月,141㎡,徐汇-田林-尚汇豪庭
3300元/月,35㎡,徐汇-田林-田林十四村高层
15000元/月,110㎡,徐汇-徐家汇-永新城
15000元/月,151㎡,徐汇-徐家汇-阳光名苑
16000元/月,102㎡,徐汇-徐家汇-莱诗邸
3600元/月,43㎡,徐汇-康健-长顺坊
19800元/月,167㎡,徐汇-徐家汇-佳安公寓
16800元/月,151㎡,徐汇-徐家汇-虹桥乐庭
15500元/月,145㎡,徐汇-衡山路-淮海中路1412弄小区
16800元/月,151㎡,徐汇-徐家汇-阳光名苑
18000元/月,170㎡,徐汇-徐家汇-尊园
4500元/月,65㎡,徐汇-康健-金桂苑
16500元/月,130㎡,徐汇-徐家汇-名仕苑
4000元/月,40㎡,徐汇-田林-田林一村
16000元/月,145㎡,徐汇-斜土路-汇峰鼎园
3400元/月,38㎡,徐汇-田林-田林一村
15000元/月,165㎡,徐汇-斜土路-银亿徐汇酩悦
17800元/月,140㎡,徐汇-徐家汇-徐家汇花园
8800元/月,110㎡,徐汇-康健-迎春园
3500元/月,33㎡,徐汇-田林-田林路89弄
16000元/月,108㎡,徐汇-徐家汇-东方曼哈顿世纪豪庭
5500元/月,45㎡,徐汇-龙华-东安花苑
4000元/月,47㎡,徐汇-徐家汇-东安四村
7600元/月,50㎡,徐汇-徐家汇-凯旋一村
11500元/月,143㎡,徐汇-万体馆-精文公寓
5000元/月,48㎡,徐汇-龙华-宛龙小区
12500元/月,70㎡,徐汇-斜土路-远雄徐汇园
6000元/月,50㎡,徐汇-龙华-宛南三村
4300元/月,35㎡,徐汇-龙华-宛南二村
5500元/月,55㎡,徐汇-龙华-宛南一村
6500元/月,58㎡,徐汇-龙华-解龙小区
6000元/月,55㎡,徐汇-龙华-宛南四村
5000元/月,39㎡,徐汇-龙华-东安五村
7000元/月,68㎡,徐汇-龙华-双峰小区
5900元/月,45㎡,徐汇-龙华-宛南二村
4100元/月,28㎡,徐汇-龙华-宛南一村
6000元/月,60㎡,徐汇-龙华-解龙小区
11000元/月,101㎡,徐汇-龙华-盛大花园
5800元/月,52㎡,徐汇-龙华-宛南二村
7200元/月,75㎡,徐汇-龙华-徐汇临江豪园
3500元/月,33㎡,徐汇-万体馆-龙山新村
12500元/月,106㎡,徐汇-万体馆-爱中爱华公寓
6600元/月,51㎡,徐汇-龙华-东安五村
4500元/月,42㎡,徐汇-龙华-龙安小区
5800元/月,54㎡,徐汇-龙华-宛南四村
4800元/月,41㎡,徐汇-龙华-宛南一村
4500元/月,33㎡,徐汇-龙华-宛南二村
12000元/月,95㎡,徐汇-龙华-徐汇临江豪园
8500元/月,99㎡,徐汇-万体馆-爱中爱华公寓
4200元/月,34㎡,徐汇-龙华-宛南一村
9499元/月,125㎡,徐汇-龙华-东安花苑
6200元/月,49㎡,徐汇-龙华-宛南四村
4500元/月,30㎡,徐汇-龙华-宛南一村
6000元/月,57㎡,徐汇-斜土路-泰莱大厦公寓
4500元/月,39㎡,徐汇-徐家汇-东安四村
4500元/月,35㎡,徐汇-龙华-东安五村
7900元/月,79㎡,徐汇-龙华-金龙花苑梅花园
14900元/月,119㎡,徐汇-徐家汇-东方曼哈顿世纪豪庭
5300元/月,55㎡,徐汇-龙华-宛南一村
11500元/月,101㎡,徐汇-龙华-腾王阁
11500元/月,104㎡,徐汇-斜土路-丝庐花语
4700元/月,35㎡,徐汇-龙华-宛南五村
10000元/月,90㎡,徐汇-斜土路-汇成桂苑
6900元/月,49㎡,徐汇-龙华-宛南一村
11500元/月,67㎡,徐汇-龙华-海珀旭晖
4800元/月,34㎡,徐汇-斜土路-大木小区
7800元/月,77㎡,徐汇-龙华-双峰小区
5500元/月,48㎡,徐汇-徐家汇-科汇公寓
13500元/月,162㎡,徐汇-徐家汇-实业公寓
5200元/月,45㎡,徐汇-斜土路-清枫大楼
11500元/月,62㎡,徐汇-斜土路-远雄徐汇园
9500元/月,104㎡,徐汇-斜土路-泰康大楼
4000元/月,40㎡,徐汇-龙华-宛南五村
5500元/月,55㎡,徐汇-龙华-宛南五村
7200元/月,45㎡,徐汇-斜土路-日晖六村
8000元/月,64㎡,徐汇-斜土路-嘉乐公寓
13800元/月,127㎡,徐汇-徐家汇-徐家汇景园
8000元/月,76㎡,徐汇-斜土路-平华大厦(徐汇)
3900元/月,42㎡,徐汇-龙华-宛龙小区
6300元/月,54㎡,徐汇-斜土路-斜土路1358弄小区
6000元/月,60㎡,徐汇-上海南站-东泉小区
4500元/月,35㎡,徐汇-斜土路-枫林新村
4500元/月,35㎡,徐汇-斜土路-茶陵小区
4500元/月,37㎡,徐汇-徐家汇-王家堂小区
11000元/月,144㎡,徐汇-斜土路-丝庐花语
7000元/月,68㎡,徐汇-龙华-东航小区
11000元/月,90㎡,徐汇-徐家汇-汇翠花园
9000元/月,108㎡,徐汇-龙华-东安花苑
6800元/月,70㎡,徐汇-龙华-华容小区
14000元/月,75㎡,徐汇-斜土路-远雄徐汇园
4200元/月,33㎡,徐汇-徐家汇-斜土路2200弄公房
5900元/月,52㎡,徐汇-建国西路-建国西路354弄小区
11200元/月,135㎡,徐汇-斜土路-衡园
5500元/月,40㎡,徐汇-斜土路-西木小区
5500元/月,40㎡,徐汇-斜土路-西木小区
12500元/月,114㎡,徐汇-徐家汇-尊园
5300元/月,39㎡,徐汇-徐家汇-谨斜小区
5000元/月,35㎡,徐汇-斜土路-徐汇市民新村
13700元/月,70㎡,徐汇-斜土路-远雄徐汇园
6200元/月,54㎡,徐汇-龙华-金龙花苑牡丹园
9000元/月,80㎡,徐汇-斜土路-金星苑
4500元/月,36㎡,徐汇-徐家汇-双峰北路8弄小区
11500元/月,74㎡,徐汇-徐家汇-名仕苑
11500元/月,125㎡,徐汇-斜土路-百乐公寓(徐汇)
4300元/月,54㎡,徐汇-龙华-宛龙小区
5500元/月,50㎡,徐汇-龙华-东安五村
13000元/月,105㎡,徐汇-斜土路-瑞金南苑
5500元/月,40㎡,徐汇-斜土路-西木小区
5900元/月,48㎡,徐汇-龙华-宛南四村
6500元/月,65㎡,徐汇-龙华-东航小区
4500元/月,45㎡,徐汇-斜土路-江南二村
8000元/月,61㎡,徐汇-斜土路-日晖新城
18000元/月,167㎡,徐汇-建国西路-汇景苑
6000元/月,55㎡,徐汇-龙华-金龙花苑牡丹园
4800元/月,40㎡,徐汇-斜土路-大木小区
12000元/月,139㎡,徐汇-徐家汇-尊园
6000元/月,54㎡,徐汇-徐家汇-东安二村
6500元/月,42㎡,徐汇-徐家汇-振兴小区
6000元/月,51㎡,徐汇-龙华-东安五村
4100元/月,34㎡,徐汇-龙华-宛南一村
10000元/月,122㎡,徐汇-徐家汇-创世纪花园
11800元/月,121㎡,徐汇-徐家汇-汇翠花园
9000元/月,130㎡,徐汇-徐家汇-创世纪花园
15300元/月,137㎡,徐汇-徐家汇-创世纪花园
13800元/月,111㎡,徐汇-徐家汇-徐虹华庭
11000元/月,107㎡,徐汇-龙华-腾王阁
14500元/月,105㎡,徐汇-龙华-御江廷
6800元/月,69㎡,徐汇-斜土路-日晖六村
4300元/月,35㎡,徐汇-龙华-宛南一村
6500元/月,47㎡,徐汇-斜土路-西木小区
5200元/月,45㎡,徐汇-徐家汇-斜土路1664弄小区
6000元/月,51㎡,徐汇-徐家汇-东安四村
1780元/月,34㎡,徐汇-龙华-徐汇苑
4500元/月,35㎡,徐汇-徐家汇-谨斜小区
6700元/月,60㎡,徐汇-斜土路-小木桥路11号
14800元/月,149㎡,徐汇-徐家汇-福源汇居
9800元/月,79㎡,徐汇-龙华-双峰小区
6800元/月,61㎡,徐汇-徐家汇-零陵小区
14000元/月,75㎡,徐汇-斜土路-远雄徐汇园
5000元/月,34㎡,徐汇-徐家汇-橡胶小区
13700元/月,70㎡,徐汇-斜土路-远雄徐汇园
8500元/月,99㎡,徐汇-万体馆-爱中爱华公寓
5300元/月,55㎡,徐汇-龙华-宛南一村
11000元/月,101㎡,徐汇-龙华-盛大花园
10000元/月,90㎡,徐汇-斜土路-汇成桂苑
6000元/月,51㎡,徐汇-徐家汇-东安四村
11200元/月,135㎡,徐汇-斜土路-衡园
4500元/月,33㎡,徐汇-龙华-宛南二村
14500元/月,139㎡,徐汇-徐家汇-阳光名苑
