price_m2,price,m2,location
73181元/㎡,680万,92.92㎡,"实业公寓
徐家汇 漕溪北路28号、漕溪北路38号"
88905元/㎡,488万,54.89㎡,"裕德路66弄小区
徐家汇 裕德路66弄"
58641元/㎡,360万,61.39㎡,"吴东小区
徐家汇 吴中东路500弄"
94890元/㎡,650万,68.5㎡,"兆丰帝景苑
徐家汇 肇嘉浜路999弄、肇嘉浜路889号"
95882元/㎡,850万,88.65㎡,"汇贤雅居
徐家汇 南丹路368弄"
80887元/㎡,350万,43.27㎡,"柿子湾小区
徐家汇 宜山路220弄、宜山路250弄"
77724元/㎡,500万,64.33㎡,"玉兰花苑
徐家汇 蒲汇塘路50弄"
88144元/㎡,1000万,113.45㎡,"创世纪花园
徐家汇 零陵路789弄"
106127元/㎡,1150万,108.36㎡,"徐虹华庭
徐家汇 徐虹北路5弄"
85567元/㎡,450万,52.59㎡,"番南小区
徐家汇 番南小区"
71575元/㎡,800万,111.77㎡,"泰德花苑
徐家汇 裕德路92弄18号"
79232元/㎡,900万,113.59㎡,"金诚花园
徐家汇 中山西路2099弄"
66135元/㎡,930万,140.62㎡,"玉兰花苑
徐家汇 蒲汇塘路50弄"
74840元/㎡,398万,53.18㎡,"乐山大楼
徐家汇 乐山路25弄、乐山路3号"
80285元/㎡,450万,56.05㎡,"番南小区
徐家汇 番南小区"
102052元/㎡,368万,36.06㎡,"南丹小区
徐家汇 南丹小区"
97633元/㎡,920万,94.23㎡,"鑫城苑
徐家汇 淮海西路343号"
91863元/㎡,980万,106.68㎡,"宜德苑
徐家汇 古宜路99弄"
101060元/㎡,1020万,100.93㎡,"尊园
徐家汇 漕溪北路99弄"
92837元/㎡,1230万,132.49㎡,"文定天下苑
徐家汇 文定路288弄"
57316元/㎡,698万,121.78㎡,"爱乐大厦
徐家汇 零陵路631号"
58840元/㎡,410万,69.68㎡,"乐山一村
徐家汇 番禺路801弄"
87500元/㎡,630万,72㎡,"宜德苑
徐家汇 古宜路99弄"
97688元/㎡,300万,30.71㎡,"番南小区
徐家汇 番南小区"
99930元/㎡,720万,72.05㎡,"徐虹华庭
徐家汇 徐虹北路5弄"
97404元/㎡,1430万,146.81㎡,"徐家汇景园
徐家汇 徐虹北路18弄"
83809元/㎡,880万,105㎡,"凯旋花苑
徐家汇 中漕路111号"
86321元/㎡,780万,90.36㎡,"实业公寓
徐家汇 漕溪北路28号、漕溪北路38号"
78013元/㎡,600万,76.91㎡,"金诚花园
徐家汇 中山西路2099弄"
87719元/㎡,500万,57㎡,"凯旋一村
徐家汇 凯旋一村1-37号"
90909元/㎡,1200万,132㎡,"宜德苑
徐家汇 古宜路99弄"
98504元/㎡,698万,70.86㎡,"汇贤雅居
徐家汇 南丹路368弄"
77453元/㎡,1100万,142.02㎡,"泰德花苑
徐家汇 裕德路92弄18号"
104295元/㎡,590万,56.57㎡,"汇贤雅居
徐家汇 南丹路368弄"
74652元/㎡,1100万,147.35㎡,"泰德花苑
徐家汇 裕德路92弄18号"
86035元/㎡,1600万,185.97㎡,"青之杰花园
徐家汇 虹桥路178弄、宜山路55号"
102052元/㎡,368万,36.06㎡,"南丹小区
徐家汇 南丹小区"
76951元/㎡,420万,54.58㎡,"漕溪大楼
徐家汇 漕溪大楼"
103586元/㎡,930万,89.78㎡,"汇贤雅居
徐家汇 南丹路368弄"
70067元/㎡,960万,137.01㎡,"虹桥路400弄小区
徐家汇 虹桥路400弄"
91245元/㎡,345万,37.81㎡,"凯旋一村
徐家汇 凯旋一村1-37号"
84581元/㎡,960万,113.5㎡,"金诚花园
徐家汇 中山西路2099弄"
101426元/㎡,1500万,147.89㎡,"徐家汇景园
徐家汇 徐虹北路18弄"
83954元/㎡,800万,95.29㎡,"凯旋花苑
徐家汇 中漕路111号"
101060元/㎡,1020万,100.93㎡,"尊园
徐家汇 漕溪北路99弄"
105297元/㎡,1300万,123.46㎡,"文定天下苑
徐家汇 文定路288弄"
96435元/㎡,1450万,150.36㎡,"汇翠花园
徐家汇 漕溪北路737弄"
73214元/㎡,700万,95.61㎡,"裕德大厦
徐家汇 裕德路92弄1-11号"
73890元/㎡,699万,94.6㎡,"裕德大厦
徐家汇 裕德路92弄1-11号"
96990元/㎡,390万,40.21㎡,"气象小区
徐家汇 怀安街71弄"
