price_m2,price,m2,location
98245元/㎡,2800万,285㎡,龙华 宾阳路18弄(沪闵路路口)
87404元/㎡,1290万,147.59㎡,龙华 三江路88弄
118796元/㎡,1580万,133㎡,龙华 宾阳路18弄(沪闵路路口)
98726元/㎡,1550万,157㎡,龙华 宾阳路18弄(沪闵路路口)
67509元/㎡,999万,147.98㎡,龙华 三江路88弄
100607元/㎡,2880万,286.26㎡,龙华 宾阳路18弄(沪闵路路口)
83311元/㎡,1880万,225.66㎡,龙华 三江路88弄
95757元/㎡,1580万,165㎡,龙华 宾阳路18弄(沪闵路路口)
105582元/㎡,1150万,108.92㎡,龙华 宾阳路18弄(沪闵路路口)
90245元/㎡,1200万,132.97㎡,龙华 三江路88弄
76692元/㎡,920万,119.96㎡,龙华 三江路88弄
100157元/㎡,1530万,152.76㎡,龙华 宾阳路18弄(沪闵路路口)
129672元/㎡,2300万,177.37㎡,龙华 宾阳路18弄(沪闵路路口)
101541元/㎡,1080万,106.36㎡,龙华 三江路88弄
103225元/㎡,2560万,248㎡,龙华 宾阳路18弄(沪闵路路口)
118164元/㎡,1800万,152.33㎡,龙华 宾阳路18弄(沪闵路路口)
87671元/㎡,1290万,147.14㎡,龙华 三江路88弄
119112元/㎡,2400万,201.49㎡,龙华 宾阳路18弄(沪闵路路口)
81307元/㎡,1388万,170.71㎡,龙华 三江路88弄
115705元/㎡,1830万,158.16㎡,龙华 宾阳路18弄(沪闵路路口)
99130元/㎡,2280万,230㎡,龙华 宾阳路18弄(沪闵路路口)
101588元/㎡,2290万,225.42㎡,龙华 宾阳路18弄(沪闵路路口)
64986元/㎡,1150万,176.96㎡,龙华 三江路88弄
80488元/㎡,540万,67.09㎡,龙华 龙漕路58弄
91923元/㎡,1400万,152.3㎡,龙华 田东路258弄、漕东支路218弄
68688元/㎡,616万,89.68㎡,龙华 龙漕路58弄
148913元/㎡,1700万,114.16㎡,龙华 云锦路183弄
195699元/㎡,8000万,408.79㎡,龙华 龙启路377弄
83298元/㎡,595万,71.43㎡,龙华 金龙花苑牡丹园
81411元/㎡,900万,110.55㎡,龙华 宾阳路50弄1-11号
50108元/㎡,300万,59.87㎡,龙华 上缝小区
69324元/㎡,600万,86.55㎡,龙华 龙漕路135弄
100677元/㎡,1100万,109.26㎡,龙华 三江路88弄
94483元/㎡,1300万,137.59㎡,龙华 龙华路2518弄1-78号
