price_m2,price,m2,location
56559元,310万,54.81㎡,"长丰坊
康健 桂林西街47弄"
53000元,280万,52.83㎡,"长丰坊
康健 桂林西街47弄"
77323元,980万,126.74㎡,"上海师大科技园
康健 桂林路70弄91-111号"
51800元,630万,121.62㎡,"迎春园
康健 虹漕南路718弄"
85106元,2000万,235㎡,"中海馨园
康健 钦州南路8弄1-25号"
51724元,285万,55.1㎡,"寿祥坊
康健 桂林西街111弄"
50426元,278万,55.13㎡,"习勤小区
康健 康健路105弄"
71705元,500万,69.73㎡,"师大新村
康健 师大新村"
91757元,1200万,130.78㎡,"师大新村
康健 师大新村"
65005元,360万,55.38㎡,"寿祥坊
康健 桂林西街111弄"
50262元,325万,64.66㎡,"月季园
康健 桂平路67弄"
58252元,480万,82.4㎡,"寿祥坊
康健 桂林西街111弄"
65052元,430万,66.1㎡,"健安坊
康健 桂林东街150弄"
49405元,270万,54.65㎡,"古美小区
康健 古美小区"
72568元,1100万,151.58㎡,"中海馨园
康健 钦州南路8弄1-25号"
61815元,395万,63.9㎡,"杜鹃园
康健 钦州南路917弄"
66274元,338万,51㎡,"健安坊
康健 桂林东街150弄"
99301元,1080万,108.76㎡,"海上名邸
康健 桂林东街28弄"
54602元,560万,102.56㎡,"紫薇园(徐汇)
康健 桂平路123弄"
58653元,305万,52㎡,"花苑村丁香园
康健 百花街345弄"
62121元,369万,59.4㎡,"寿益坊
康健 桂林西街85弄1-71号"
81445元,888万,109.03㎡,"海上名邸
康健 桂林东街28弄"
43658元,295万,67.57㎡,"桂平小区
康健 桂平小区"
133910元,1330万,99.32㎡,"徐汇天悦
康健 虹漕南路128弄"
87562元,880万,100.5㎡,"漕河景苑
康健 康健路58弄"
132490元,1320万,99.63㎡,"徐汇天悦
康健 虹漕南路128弄"
130789元,1299万,99.32㎡,"徐汇天悦
康健 虹漕南路128弄"
135501元,1350万,99.63㎡,"徐汇天悦
康健 虹漕南路128弄"
60207元,330万,54.81㎡,"长丰坊
康健 桂林西街47弄"
61815元,395万,63.9㎡,"杜鹃园
康健 钦州南路917弄"
82220元,930万,113.11㎡,"中海馨园
康健 钦州南路8弄1-25号"
100082元,1450万,144.88㎡,"海上名邸
康健 桂林东街28弄"
53776元,220万,40.91㎡,"师大新村
康健 师大新村"
46607元,215万,46.13㎡,"长兴坊
康健 桂林西街15弄"
62578元,350万,55.93㎡,"长海坊
康健 桂林西街9弄"
51498元,385万,74.76㎡,"师大新村
康健 师大新村"
52409元,348万,66.4㎡,"寿益坊
康健 桂林西街85弄1-71号"
92199元,1280万,138.83㎡,"师大新村
康健 师大新村"
109670元,1100万,100.3㎡,"徐汇天悦
康健 虹漕南路128弄"
77353元,940万,121.52㎡,"中海馨园
康健 钦州南路8弄1-25号"
48947元,279万,57㎡,"寿昌坊
康健 桂林西街151弄"
87933元,1150万,130.78㎡,"上海师大科技园
康健 桂林路70弄91-111号"
97289元,1450万,149.04㎡,"中海馨园
康健 钦州南路8弄1-25号"
58252元,480万,82.4㎡,"寿祥坊
康健 桂林西街111弄"
85106元,2000万,235㎡,"中海馨园
康健 钦州南路8弄1-25号"
53445元,650万,121.62㎡,"迎春园
康健 虹漕南路718弄"
71723元,278万,38.76㎡,"长青坊
康健 桂林西街30弄"
79511元,1120万,140.86㎡,"中星海上华庭
康健 虹漕南路699弄"
54500元,284万,52.11㎡,"薛家宅小区
康健 冠生园路230弄"
69530元,416万,59.83㎡,"康强坊
康健 康强坊"
53824元,330万,61.31㎡,"寿德坊
康健 桂林西街400弄"
115859元,1540万,132.92㎡,"海上名邸
康健 桂林东街28弄"
40829元,185万,45.31㎡,"长兴坊
康健 桂林西街15弄"
107392元,1168万,108.76㎡,"海上名邸
康健 桂林东街28弄"
60404元,299万,49.5㎡,"长顺坊
康健 桂林西街14弄"
57894元,550万,95㎡,"金桂苑
康健 虹漕南路99弄"
54608元,298万,54.57㎡,"习勤小区
康健 康健路105弄"
