rent,m2,location
13000元/月,143㎡,徐汇-康健-海上名门
10000元/月,136㎡,徐汇-康健-中星虹漕公寓
11800元/月,102㎡,徐汇-康健-中星海上华庭
3680元/月,40㎡,徐汇-康健-长顺坊
7500元/月,97㎡,徐汇-康健-师大新村
2900元/月,46㎡,徐汇-康健-古美小区
12000元/月,127㎡,徐汇-康健-百合花苑
7500元/月,94㎡,徐汇-康健-寿益坊
2900元/月,44㎡,徐汇-康健-东兰小区
6000元/月,72㎡,徐汇-康健-师大新村
5000元/月,61㎡,徐汇-康健-徐汇天悦
6000元/月,55㎡,徐汇-康健-师大新村
3100元/月,44㎡,徐汇-康健-长青坊
12000元/月,126㎡,徐汇-康健-百合花苑
14500元/月,134㎡,徐汇-康健-海上名门
5600元/月,58㎡,徐汇-康健-东兰小区
17000元/月,144㎡,徐汇-康健-康健星辰
13500元/月,134㎡,徐汇-康健-金桂苑
7800元/月,78㎡,徐汇-康健-茶花园
8888元/月,97㎡,徐汇-康健-师大新村
5350元/月,59㎡,徐汇-康健-寿昌坊
3800元/月,46㎡,徐汇-康健-康乐小区(徐汇)
5400元/月,58㎡,徐汇-康健-长兴坊
5000元/月,77㎡,徐汇-康健-康乐小区(徐汇)
5500元/月,57㎡,徐汇-康健-西樱花园
4000元/月,42㎡,徐汇-康健-薛家宅小区
2800元/月,47㎡,徐汇-康健-古美小区
16800元/月,137㎡,徐汇-康健-紫藤苑(徐汇)
4100元/月,41㎡,徐汇-康健-花苑村丁香园
15500元/月,95㎡,徐汇-康健-汇樾庭
5500元/月,66㎡,徐汇-康健-西樱花园
15000元/月,135㎡,徐汇-康健-漕河景苑
14500元/月,131㎡,徐汇-康健-漕河景苑
5200元/月,59㎡,徐汇-康健-花苑村茶花园
4800元/月,59㎡,徐汇-康健-寿昌坊
4850元/月,47㎡,徐汇-康健-花苑村丁香园
16000元/月,134㎡,徐汇-康健-漕河景苑
3600元/月,44㎡,徐汇-康健-寿昌坊
8500元/月,142㎡,徐汇-康健-花苑村梅花园
14500元/月,134㎡,徐汇-康健-海上名门
6800元/月,76㎡,徐汇-康健-紫薇园(徐汇)
12000元/月,100㎡,徐汇-康健-汇樾庭
4500元/月,39㎡,徐汇-康健-师大新村
7500元/月,75㎡,徐汇-康健-万象园华宏小区
16800元/月,146㎡,徐汇-康健-康健星辰
6200元/月,72㎡,徐汇-康健-花苑村丁香园
2900元/月,45㎡,徐汇-康健-东兰小区
13500元/月,119㎡,徐汇-康健-中星海上华庭
4500元/月,48㎡,徐汇-康健-紫薇园(徐汇)
11800元/月,89㎡,徐汇-康健-徐汇天悦
4000元/月,44㎡,徐汇-康健-康乐小区(徐汇)
7500元/月,84㎡,徐汇-康健-花苑村月季园
13500元/月,102㎡,徐汇-康健-汇樾庭
4500元/月,69㎡,徐汇-康健-紫薇园(徐汇)
16500元/月,136㎡,徐汇-康健-中星海上华庭
11800元/月,102㎡,徐汇-康健-中星海上华庭
17000元/月,166㎡,徐汇-康健-海上名邸
3600元/月,44㎡,徐汇-康健-寿昌坊
